# AOFEI's Geofeed, last updated (rfc3339): 2022-02-15, by zhouhb@ofidc.com
# prefix,country_code,region_code,city,postal
61.29.243.0/24,HK,,,
61.29.244.0/22,,,
61.29.244.0/24,HK,,,
61.29.245.0/24,HK,,,
61.29.246.0/24,HK,,,
61.29.247.0/24,LA,VT,VT,VT,
61.29.248.0/24,NL,NL-NH,Amsterdam,
61.29.249.0/24,HK,,,
61.29.250.0/24,HK,,,
61.29.251.0/24,MM,RGN,RGN,
61.29.252.0/22,HK,,,
61.29.252.0/24,HK,,,
61.29.253.0/24,TW,TW-TPE,Taipei,
61.29.254.0/24,HK,,,
61.29.255.0/24,HK,,



---------------------
103.240.148.0/22,,,
103.240.148.0/24,,,
103.240.149.0/24,,,
103.240.150.0/24,,,
103.240.151.0/24,,,
借用网域

103.228.228.0/24
103.228.229.0/24
103.228.230.0/24
103.228.231.0/24
-- 不在登记表，内部电信发布，ennjoyvc

103.246.144.0/24,,,
103.246.145.0/24,,,
103.246.146.0/24,,,
103.246.147.0/24,,,
-- 不在登记表，没有发布，未知归属

103.52.188.0/22,,,
-- syscloud , 已经不是奥飞客户

103.78.68.0/22,,,
103.95.128.0/22,,,
-- AS137969 , 已经不是奥飞客户

103.8.106.0/24,TW,TW-TPE,Taipei,
--TIGC, 可发布

139.198.8.0/24
--已经不是奥飞客户

61.249.241.0/24,,,
61.249.242.0/24,,,
61.249.243.0/24,,,
-- 配置错误，是AS4670 的IP

45.201.232.0/24,,, 138905
45.201.233.0/24,,, 138905
45.201.234.0/24,,, 138905
45.201.235.0/24,,, 138905

45.201.236.0/24,,, 142423
45.201.237.0/24,,, 142423
45.201.238.0/24,,, 142423
45.201.239.0/24,,, 142423
-- origin AS wrong , correct it already

45.253.249.0/24,,, ???
45.253.250.0/24,,, ???
45.253.251.0/24,,, ???
45.253.252.0/24,,, ???
45.253.253.0/24,,, ???
45.253.254.0/24,,, ???
-- origin AS wrong , nor aofei's customer,  delete it

45.43.56.0/24,,,
-- Ucloud, origin AS wrong , nor aofei's customer,  delete it

103.242.66.0/24
103.242.65.0/24
103.242.66.0/24
103.242.64.0/22

103.211.164.0/22
103.211.164.0/24
103.211.165.0/24
103.211.166.0/24
103.119.176.0/22
103.119.176.0/24
103.119.177.0/24
103.119.178.0/24
103.119.179.0/24
-- AS138011 speedy, origin AS wrong , nor aofei's customer,  delete it

------------------------------------------------------------------------
Proxy-registered route object

